기관기업고유번호,기술명칭,정제된기술명,카테고리
31258,Development of high efficiency low cost solar cells and modules by ink-jet printing,development of high efficiency low cost solar cells and modules by ink jet printing,재생에너지 및 에너지전환
31259,Design for three-junction tandem solar cells on a Gallium Arsenide substrate,design for three junction tandem solar cells on a gallium arsenide substrate,재생에너지 및 에너지전환
31306,Flexible Silicon Solar Cells: Thin but efficient solar cells use 10% silicon of conventional cells.,flexible silicon solar cells thin but efficient solar cells use 10 silicon of conventional cells,재생에너지 및 에너지전환
31350,해양 풍력 터빈의 취약성을 감소시키기 위한 기술,해양 풍력 터빈의 취약성을 감소시키기 위한 기술,재생에너지 및 에너지전환
31352,풍력 터빈의 공탄성 안정성을 위한 tool,풍력 터빈의 공탄성 안정성을 위한 tool,재생에너지 및 에너지전환
31356,자연광을 통한 식수 정화,자연광을 통한 식수 정화,물 부족 및 정수 기술
31371,알프스 지역의 농업 종사자 지원,알프스 지역의 농업 종사자 지원,농업 및 식량안보
31374,정신 보건 기관 내 폭력 사건 추적,정신 보건 기관 내 폭력 사건 추적,사회적 갈등 및 강제이주
31398,기어 사용하지 않는 풍력발전기로 고장 리스크 경감,기어 사용하지 않는 풍력발전기로 고장 리스크 경감,재생에너지 및 에너지전환
31543,태양 전지 산업에서의 재활용,태양 전지 산업에서의 재활용,자원순환 및 친환경 소재
31564,해상용 풍력발전기의 신뢰성 향상,해상용 풍력발전기의 신뢰성 향상,재생에너지 및 에너지전환
31571,신재생에너지의 새로운 접근,신재생에너지의 새로운 접근,재생에너지 및 에너지전환
31610,습지에서 기후변화데이터를 확보한다.,습지에서 기후변화데이터를 확보한다,기후변화 대응 및 탄소감축
31660,탄소분할에 미치는 기후변화의 영향,탄소분할에 미치는 기후변화의 영향,기후변화 대응 및 탄소감축
31281,지열 종합 이용,지열 종합 이용,재생에너지 및 에너지전환
31738,안전한 식수를 위한 오염허용기준,안전한 식수를 위한 오염허용기준,물 부족 및 정수 기술
31921,기후변화의 지표인 testate amoebae,기후변화의 지표인 testate amoebae,기후변화 대응 및 탄소감축
31922,temporary waters에 대한 수질 모델의 개선,temporary waters에 대한 수질 모델의 개선,물 부족 및 정수 기술
32168,장기간의 합성 질소 비료 작용,장기간의 합성 질소 비료 작용,농업 및 식량안보
31921,기후변화의 생물지표인 유각아메바,기후변화의 생물지표인 유각아메바,기후변화 대응 및 탄소감축
32281,안전한 식수 공급을 위한 새로운 연구,안전한 식수 공급을 위한 새로운 연구,물 부족 및 정수 기술
32282,지중해 수질 관리 향상에 대한 소책자,지중해 수질 관리 향상에 대한 소책자,물 부족 및 정수 기술
31688,폭풍에 대한 대비 연구,폭풍에 대한 대비 연구,홍수 및 재해 대응 인프라
32288,낙농업장에서 방출되는 온실 가스 모델링,낙농업장에서 방출되는 온실 가스 모델링,농업 및 식량안보
32168,농업 합성물용 혼합 사료 고자양 첨가물,농업 합성물용 혼합 사료 고자양 첨가물,농업 및 식량안보
32434,풍력터빈의 설계와 도전,풍력터빈의 설계와 도전,재생에너지 및 에너지전환
32438,유리와 탄소섬유의 재활용 기술,유리와 탄소섬유의 재활용 기술,자원순환 및 친환경 소재
31302,실온에서 리튬 고속 이온전도를 나타내는 수소화물의 개발에 성공,실온에서 리튬 고속 이온전도를 나타내는 수소화물의 개발에 성공,재생에너지 및 에너지전환
31158,대용량 니켈 수소전지에 의한 정전압 플로트 충전,대용량 니켈 수소전지에 의한 정전압 플로트 충전,재생에너지 및 에너지전환
34796,수소제조 시에 CO2를 분리회수하는 기술을 개발,수소제조 시에 co2를 분리회수하는 기술을 개발,재생에너지 및 에너지전환
